Age	3	10	25	50	75	90	97
0	31.93	32.76	33.65	34.71	35.85	36.95	38.12
0.041	33.38	34.17	35.03	36.03	37.12	38.16	39.27
0.125	35.49	36.23	37.03	37.98	38.99	39.95	40.97
0.208	36.99	37.71	38.48	39.38	40.34	41.26	42.22
0.291	38.13	38.84	39.59	40.47	41.40	42.28	43.20
0.375	39.05	39.75	40.49	41.35	42.26	43.11	44.00
0.458	39.80	40.50	41.23	42.08	42.98	43.82	44.68
0.541	40.43	41.13	41.86	42.71	43.59	44.42	45.27
0.625	40.98	41.68	42.41	43.25	44.13	44.94	45.78
0.708	41.45	42.15	42.89	43.73	44.60	45.41	46.23
0.791	41.86	42.57	43.31	44.16	45.03	45.83	46.64
0.875	42.23	42.95	43.69	44.54	45.41	46.20	47.01
0.958	42.55	43.28	44.03	44.88	45.75	46.55	47.35
1.041	42.84	43.58	44.34	45.20	46.07	46.86	47.66
1.125	43.11	43.85	44.62	45.48	46.35	47.15	47.94
1.208	43.34	44.10	44.87	45.74	46.62	47.42	48.21
1.291	43.56	44.33	45.11	45.98	46.87	47.66	48.46
1.375	43.76	44.53	45.33	46.21	47.09	47.89	48.69
1.458	43.94	44.73	45.53	46.42	47.31	48.11	48.90
1.541	44.12	44.91	45.70	46.59	47.47	48.27	49.06
1.625	44.30	45.09	45.88	46.76	47.64	48.44	49.22
1.875	44.76	45.54	46.32	47.19	48.06	48.84	49.62
2.25	45.68	46.44	47.20	48.05	48.90	49.66	50.41
2.75	46.36	47.12	47.88	48.72	49.57	50.33	51.08
3.25	46.93	47.68	48.44	49.29	50.14	50.90	51.65
3.75	47.35	48.10	48.87	49.71	50.56	51.33	52.08
4.25	47.68	48.44	49.21	50.06	50.91	51.68	52.44
4.75	47.96	48.73	49.50	50.36	51.22	51.99	52.75
5.25	48.22	48.99	49.77	50.63	51.50	52.27	53.04
5.75	48.45	49.23	50.01	50.88	51.75	52.53	53.30
6.5	48.75	49.53	50.32	51.19	52.07	52.86	53.63
7.5	49.11	49.90	50.70	51.58	52.47	53.27	54.06
8.5	49.45	50.25	51.06	51.95	52.85	53.66	54.45
9.5	49.78	50.59	51.41	52.31	53.22	54.04	54.84
10.5	50.10	50.91	51.74	52.66	53.57	54.40	55.21
11.5	50.40	51.23	52.06	52.99	53.92	54.75	55.58
12.5	50.69	51.52	52.37	53.31	54.24	55.09	55.92
13.5	50.96	51.80	52.65	53.59	54.54	55.39	56.23
14.5	51.20	52.05	52.90	53.86	54.81	55.66	56.51
15.5	51.43	52.28	53.14	54.10	55.06	55.92	56.77
16.5	51.62	52.48	53.34	54.31	55.27	56.14	56.99
17.5	51.77	52.63	53.50	54.47	55.43	56.31	57.17
18.5	51.85	52.72	53.59	54.56	55.54	56.41	57.28
19.5	51.88	52.76	53.64	54.61	55.59	56.47	57.34
20.5	51.88	52.76	53.64	54.62	55.60	56.48	57.36
